debate_id,claim,winner_role,winner_source,winner_confidence_label,n_total_turns,proponent_turns,proponent_confidence_mean,proponent_strong_modality_density_mean,proponent_weak_modality_density_mean,proponent_modality_balance_mean,proponent_polarity_mean,proponent_subjectivity_mean,proponent_word_count_mean,proponent_late_confidence_mean,proponent_late_strong_modality_density_mean,proponent_late_weak_modality_density_mean,proponent_late_modality_balance_mean,opponent_turns,opponent_confidence_mean,opponent_strong_modality_density_mean,opponent_weak_modality_density_mean,opponent_modality_balance_mean,opponent_polarity_mean,opponent_subjectivity_mean,opponent_word_count_mean,opponent_late_confidence_mean,opponent_late_strong_modality_density_mean,opponent_late_weak_modality_density_mean,opponent_late_modality_balance_mean,loser_role,winner_minus_loser_confidence_mean,winner_minus_loser_strong_modality_density_mean,winner_minus_loser_weak_modality_density_mean,winner_minus_loser_modality_balance_mean,winner_minus_loser_polarity_mean,winner_minus_loser_subjectivity_mean,winner_minus_loser_word_count_mean,winner_minus_loser_late_confidence_mean,winner_minus_loser_late_strong_modality_density_mean,winner_minus_loser_late_weak_modality_density_mean,winner_minus_loser_late_modality_balance_mean
debate_d44fae6b733e,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,opponent,stance_trajectory,medium,10,5,46.4,0.0,0.0,0.0,0.11562121212121212,0.31901515151515153,37.4,40.0,0.0,0.0,0.0,5,55.0,0.005,0.0,0.2,-0.05166666666666666,0.5770833333333333,36.6,59.5,0.0,0.0,0.0,proponent,8.600000000000001,0.005,0.0,0.2,-0.1672878787878788,0.25806818181818175,-0.7999999999999972,19.5,0.0,0.0,0.0
debate_ed50fc02ae17,Climate change is a manufactured crisis promoted by global elites to justify increased taxation and control over populations.,opponent,stance_trajectory,medium,8,4,52.25,0.0,0.0,0.0,0.1930059523809524,0.4257440476190476,38.75,49.0,0.0,0.0,0.0,4,57.0,0.007142857142857143,0.0,0.25,0.04797619047619049,0.37279761904761904,37.75,63.5,0.014285714285714285,0.0,0.5,proponent,4.75,0.007142857142857143,0.0,0.25,-0.1450297619047619,-0.05294642857142856,-1.0,14.5,0.014285714285714285,0.0,0.5
debate_502129d2106d,Commercial aircraft deliberately release chemical or biological agents (chemtrails) as part of secret atmospheric modification programs.,opponent,stance_trajectory,medium,10,5,55.4,0.0058823529411764705,0.0058823529411764705,0.0,0.05755555555555556,0.32001587301587303,36.8,54.0,0.0,0.0,0.0,5,50.0,0.0,0.0,0.0,-0.007999999999999998,0.27975000000000005,34.2,51.5,0.0,0.0,0.0,proponent,-5.399999999999999,-0.0058823529411764705,-0.0058823529411764705,0.0,-0.06555555555555556,-0.04026587301587298,-2.5999999999999943,-2.5,0.0,0.0,0.0
debate_d161d827de8e,The Earth is actually flat and space agencies worldwide are involved in a massive coordinated deception about its spherical shape.,opponent,stance_trajectory,medium,10,5,56.2,0.0,0.0,0.0,0.01883333333333334,0.41292460317460317,35.4,56.5,0.0,0.0,0.0,5,53.0,0.0,0.0,0.0,0.026388888888888885,0.4642857142857143,37.0,55.5,0.0,0.0,0.0,proponent,-3.200000000000003,0.0,0.0,0.0,0.0075555555555555445,0.051361111111111135,1.6000000000000014,-1.0,0.0,0.0,0.0
debate_c06bb9f037d3,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,,,low,10,5,49.2,0.0,0.004878048780487805,-0.2,0.015619047619047621,0.4178333333333333,41.6,47.0,0.0,0.012195121951219513,-0.5,5,51.4,0.0,0.0047619047619047615,-0.2,0.06639880952380953,0.4867261904761905,41.4,51.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_79273602c10e,Central bank digital currencies are designed to enable total government control over personal finances and eliminate financial privacy.,opponent,stance_trajectory,medium,8,4,52.0,0.0,0.0,0.0,0.05659722222222222,0.2375,29.75,48.0,0.0,0.0,0.0,4,63.25,0.0,0.0,0.0,0.011458333333333334,0.5041666666666667,40.25,69.0,0.0,0.0,0.0,proponent,11.25,0.0,0.0,0.0,-0.04513888888888889,0.26666666666666666,10.5,21.0,0.0,0.0,0.0
debate_33534c61d8b9,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",opponent,stance_trajectory,medium,10,5,57.0,0.01146589259796807,0.0037735849056603774,0.2,0.014777777777777787,0.4648888888888889,41.4,61.0,0.009433962264150943,0.009433962264150943,0.0,5,50.0,0.010476190476190476,0.0,0.4,0.0617777777777778,0.43522222222222223,39.4,49.5,0.026190476190476188,0.0,1.0,proponent,-7.0,-0.0009897021217775935,-0.0037735849056603774,0.2,0.047000000000000014,-0.029666666666666675,-2.0,-11.5,0.016756513926325246,-0.009433962264150943,1.0
debate_aad3e66674c7,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,opponent,stance_trajectory,medium,10,5,53.8,0.0,0.0,0.0,-0.053750000000000006,0.6607936507936507,40.0,52.5,0.0,0.0,0.0,5,51.2,0.0,0.00425531914893617,-0.2,0.13933333333333336,0.3893333333333333,41.0,53.0,0.0,0.0,0.0,proponent,-2.5999999999999943,0.0,0.00425531914893617,-0.2,0.19308333333333338,-0.2714603174603174,1.0,0.5,0.0,0.0,0.0
debate_1cf7e2de330b,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,opponent,stance_trajectory,medium,10,5,50.2,0.004347826086956522,0.004347826086956522,0.0,0.004500000000000004,0.3625238095238095,40.2,47.0,0.010869565217391304,0.010869565217391304,0.0,5,54.0,0.0,0.0,0.0,0.11749999999999998,0.5370833333333334,37.2,57.5,0.0,0.0,0.0,proponent,3.799999999999997,-0.004347826086956522,-0.004347826086956522,0.0,0.11299999999999998,0.17455952380952383,-3.0,10.5,-0.010869565217391304,-0.010869565217391304,0.0
debate_8fb6cafbdcd6,Food additives approved by regulatory agencies are intentionally harmful and designed to create chronic diseases that benefit the medical industry.,opponent,stance_trajectory,medium,10,5,48.0,0.0,0.0058823529411764705,-0.2,-0.022999999999999993,0.35,36.4,43.5,0.0,0.0,0.0,5,51.4,0.006896551724137931,0.0,0.2,0.006666666666666673,0.38666666666666666,30.2,51.0,0.0,0.0,0.0,proponent,3.3999999999999986,0.006896551724137931,-0.0058823529411764705,0.4,0.029666666666666668,0.03666666666666668,-6.199999999999999,7.5,0.0,0.0,0.0
debate_d415f549d34b,COVID-19 vaccines contain microchips designed for population tracking and control.,,,low,8,4,51.25,0.0,0.0,0.0,0.125,0.17797619047619048,21.75,40.0,0.0,0.0,0.0,4,83.75,0.0,0.0,0.0,-0.02375,0.18416666666666665,28.75,87.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_3b1890e656da,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,,,low,10,5,52.6,0.0,0.0,0.0,0.0,0.0,13.4,50.5,0.0,0.0,0.0,5,73.6,0.007272727272727273,0.007272727272727273,0.0,0.04208333333333333,0.5504166666666667,54.6,76.0,0.0,0.0,0.0,,,,,,,,,,,,
debate_f5eb4e77cb28,Water fluoridation is a deliberate government program to reduce cognitive function and increase population compliance.,,,low,10,5,52.4,0.0,0.0,0.0,-0.019999999999999993,0.21222222222222223,15.0,50.0,0.0,0.0,0.0,5,72.2,0.0,0.0,0.0,0.013333333333333332,0.06666666666666667,18.0,73.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_ed3bc38e5c93,Pharmaceutical companies have suppressed cheap effective cures for cancer and other diseases to maintain profit from expensive treatments.,,,low,10,5,53.6,0.0,0.0,0.0,-0.10416666666666666,0.6625,18.6,52.0,0.0,0.0,0.0,5,55.2,0.0,0.0,0.0,0.13999999999999999,0.38,32.2,55.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_f95e75cece4e,The Apollo moon landings were staged by NASA and the US government to win the Space Race against the Soviet Union.,opponent,stance_trajectory,medium,6,3,45.0,0.0,0.0,0.0,0.3444444444444445,0.5666666666666665,25.666666666666668,35.0,0.0,0.0,0.0,3,82.0,0.0,0.011494252873563218,-0.6666666666666666,0.10000000000000002,0.33777777777777773,38.666666666666664,84.0,0.0,0.0,0.0,proponent,37.0,0.0,0.011494252873563218,-0.6666666666666666,-0.24444444444444446,-0.2288888888888888,12.999999999999996,49.0,0.0,0.0,0.0
debate_1e95efa8ad4e,The 9/11 attacks were orchestrated by elements within the US government to justify wars in the Middle East.,opponent,stance_trajectory,medium,8,4,45.5,0.0,0.0,0.0,-0.10833333333333335,0.1875,19.0,43.0,0.0,0.0,0.0,4,59.75,0.0,0.0,0.0,-0.30000000000000004,0.6375000000000001,25.5,62.0,0.0,0.0,0.0,proponent,14.25,0.0,0.0,0.0,-0.1916666666666667,0.45000000000000007,6.5,19.0,0.0,0.0,0.0
debate_5398ee2842ca,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,,,low,10,5,51.2,0.0,0.0,0.0,0.125,0.325,23.4,47.5,0.0,0.0,0.0,5,56.6,0.0,0.0,0.0,0.0,0.4,16.8,58.0,0.0,0.0,0.0,,,,,,,,,,,,
debate_f7e5524a4def,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,,,low,10,5,63.2,0.0,0.020050125313283207,-0.4,0.12277777777777779,0.6972222222222222,23.6,63.0,0.0,0.02631578947368421,-0.5,5,62.2,0.0,0.0125,-0.4,0.07766666666666666,0.34266666666666673,33.2,67.0,0.0,0.03125,-1.0,,,,,,,,,,,,
debate_95440f57ea16,5G wireless networks cause serious health problems including immune system damage and are being deployed despite known dangers.,,,low,8,4,58.75,0.0,0.0,0.0,-0.03125,0.13125,18.75,45.0,0.0,0.0,0.0,4,62.5,0.0,0.013157894736842105,-0.75,0.17434726731601732,0.37892541486291487,52.0,67.5,0.0,0.017543859649122806,-1.0,,,,,,,,,,,,
debate_e992c771e231,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,opponent,stance_trajectory,medium,10,5,52.2,0.01111111111111111,0.0,0.2,-0.021666666666666667,0.17736111111111114,21.0,49.5,0.027777777777777776,0.0,0.5,5,56.0,0.0,0.0058823529411764705,-0.2,0.09022222222222223,0.2457777777777778,31.6,56.5,0.0,0.0,0.0,proponent,3.799999999999997,-0.01111111111111111,0.0058823529411764705,-0.4,0.1118888888888889,0.06841666666666665,10.600000000000001,7.0,-0.027777777777777776,0.0,-0.5
debate_5c6d51061241,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,,,low,10,5,61.6,0.0,0.0,0.0,-0.009374999999999998,0.3733333333333333,23.0,60.0,0.0,0.0,0.0,5,59.8,0.0,0.0,0.0,-0.03888888888888888,0.4261111111111111,24.4,63.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_418d6dc9001e,Climate change is a manufactured crisis promoted by global elites to justify increased taxation and control over populations.,opponent,stance_trajectory,medium,6,3,45.0,0.0,0.017543859649122806,-0.3333333333333333,0.011111111111111112,0.08888888888888889,19.0,35.0,0.0,0.0,0.0,3,81.33333333333333,0.0,0.013071895424836602,-0.6666666666666666,0.013333333333333336,0.21,49.666666666666664,82.0,0.0,0.0196078431372549,-1.0,proponent,36.33333333333333,0.0,-0.004471964224286204,-0.3333333333333333,0.0022222222222222244,0.1211111111111111,30.666666666666664,47.0,0.0,0.0196078431372549,-1.0
debate_dee8e0725cb2,Commercial aircraft deliberately release chemical or biological agents (chemtrails) as part of secret atmospheric modification programs.,,,low,8,4,42.5,0.0,0.0,0.0,-0.13177083333333334,0.2598958333333333,14.5,30.0,0.0,0.0,0.0,4,85.0,0.0,0.0,0.0,-0.13333333333333333,0.2333333333333333,22.25,87.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_b74029a3c955,The Earth is actually flat and space agencies worldwide are involved in a massive coordinated deception about its spherical shape.,,,low,8,4,37.25,0.0,0.0,0.0,0.004166666666666662,0.3145833333333333,17.25,29.0,0.0,0.0,0.0,4,82.5,0.0,0.0,0.0,0.08020833333333334,0.34756944444444443,32.75,85.0,0.0,0.0,0.0,,,,,,,,,,,,
debate_db9e8723270f,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,,,low,10,5,54.4,0.0,0.0,0.0,0.10928571428571428,0.45392857142857135,14.2,50.0,0.0,0.0,0.0,5,64.6,0.0,0.0,0.0,0.09880952380952382,0.3357142857142857,17.2,70.5,0.0,0.0,0.0,,,,,,,,,,,,
debate_e1755a486e66,Central bank digital currencies are designed to enable total government control over personal finances and eliminate financial privacy.,,,low,8,4,45.0,0.0,0.0,0.0,0.0,0.18333333333333335,17.0,30.0,0.0,0.0,0.0,4,65.0,0.0,0.07894736842105263,-3.0,0.0,0.334375,38.0,70.0,0.0,0.07894736842105263,-3.0,,,,,,,,,,,,
debate_504a28b69553,"President Kennedy was assassinated by a conspiracy involving elements of the US government, not by a lone gunman.",opponent,stance_trajectory,medium,10,5,58.8,0.0,0.0,0.0,0.025,0.025,16.8,59.5,0.0,0.0,0.0,5,59.0,0.0,0.0,0.0,0.38,0.38,20.6,60.0,0.0,0.0,0.0,proponent,0.20000000000000284,0.0,0.0,0.0,0.355,0.355,3.8000000000000007,0.5,0.0,0.0,0.0
debate_42029a9806f4,The US government had advance knowledge of the Pearl Harbor attack but allowed it to happen to justify entering World War II.,opponent,stance_trajectory,medium,10,5,53.2,0.0,0.0,0.0,0.10333333333333335,0.25,21.6,51.5,0.0,0.0,0.0,5,60.8,0.0,0.0,0.0,0.0075000000000000015,0.06000000000000001,19.0,68.5,0.0,0.0,0.0,proponent,7.599999999999994,0.0,0.0,0.0,-0.09583333333333334,-0.19,-2.6000000000000014,17.0,0.0,0.0,0.0
debate_135788fcda43,GMO foods are deliberately designed to cause health problems and increase dependence on corporate agriculture.,opponent,stance_trajectory,medium,8,4,45.0,0.0,0.0,0.0,0.0,0.05,21.75,30.0,0.0,0.0,0.0,4,63.75,0.0,0.005952380952380952,-0.25,-0.025729166666666664,0.303125,34.25,70.0,0.0,0.011904761904761904,-0.5,proponent,18.75,0.0,0.005952380952380952,-0.25,-0.025729166666666664,0.253125,12.5,40.0,0.0,0.011904761904761904,-0.5
debate_01f3270439c2,Food additives approved by regulatory agencies are intentionally harmful and designed to create chronic diseases that benefit the medical industry.,opponent,stance_trajectory,medium,8,4,41.25,0.0,0.0,0.0,-0.1388888888888889,0.24166666666666664,16.25,30.0,0.0,0.0,0.0,4,76.25,0.0,0.011133102424542306,-0.5,-0.020833333333333346,0.30486111111111114,41.75,80.0,0.0,0.010638297872340425,-0.5,proponent,35.0,0.0,0.011133102424542306,-0.5,0.11805555555555555,0.0631944444444445,25.5,50.0,0.0,0.010638297872340425,-0.5
debate_63038aad07e7,COVID-19 vaccines contain microchips designed for population tracking and control.,,,low,2,1,55.0,0.0,0.0,0.0,0.3,0.48333333333333334,24.0,,,,,1,80.0,0.0,0.0,0.0,0.0,0.0,18.0,80.0,0.0,0.0,0.0,,,,,,,,,,,,
debate_72da926c7dce,Rapid development timelines and limited long-term data make mRNA vaccines fundamentally untrustworthy compared to traditional vaccine methods.,,,low,2,1,55.0,0.0,0.0,0.0,0.0,0.0,15.0,,,,,1,75.0,0.0,0.024390243902439025,-1.0,0.21666666666666667,0.8666666666666667,41.0,75.0,0.0,0.024390243902439025,-1.0,,,,,,,,,,,,
debate_98b823af1cb8,Water fluoridation is a deliberate government program to reduce cognitive function and increase population compliance.,opponent,stance_trajectory,medium,6,3,52.0,0.0,0.0,0.0,-0.018518518518518517,0.1777777777777778,17.666666666666668,49.0,0.0,0.0,0.0,3,72.0,0.0,0.0,0.0,0.0,0.0,20.0,74.0,0.0,0.0,0.0,proponent,20.0,0.0,0.0,0.0,0.018518518518518517,-0.1777777777777778,2.333333333333332,25.0,0.0,0.0,0.0
debate_5ff0c630f642,Pharmaceutical companies have suppressed cheap effective cures for cancer and other diseases to maintain profit from expensive treatments.,opponent,stance_trajectory,medium,10,5,51.0,0.008467023172905526,0.004545454545454545,0.2,0.08638888888888888,0.5625925925925926,34.2,48.0,0.021167557932263815,0.011363636363636364,0.5,5,57.8,0.0,0.004081632653061224,-0.2,0.0344047619047619,0.3801190476190476,37.2,60.5,0.0,0.0,0.0,proponent,6.799999999999997,-0.008467023172905526,-0.00046382189239332124,-0.4,-0.05198412698412697,-0.18247354497354507,3.0,12.5,-0.021167557932263815,-0.011363636363636364,-0.5
debate_5a66cafb4be5,The Apollo moon landings were staged by NASA and the US government to win the Space Race against the Soviet Union.,opponent,stance_trajectory,medium,4,2,54.0,0.0,0.0,0.0,0.65,0.7,22.0,53.0,0.0,0.0,0.0,2,75.5,0.0,0.0,0.0,0.28409090909090906,0.425,43.0,76.0,0.0,0.0,0.0,proponent,21.5,0.0,0.0,0.0,-0.36590909090909096,-0.27499999999999997,21.0,23.0,0.0,0.0,0.0
debate_137181fe310e,The 9/11 attacks were orchestrated by elements within the US government to justify wars in the Middle East.,opponent,outcome_summary,high,2,1,55.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,1,80.0,0.0,0.0,0.0,-0.175,0.575,33.0,80.0,0.0,0.0,0.0,proponent,25.0,0.0,0.0,0.0,-0.175,0.575,23.0,,,,
debate_2eb61e46e0a2,An unelected 'deep state' of bureaucrats and intelligence agencies actually controls government policy regardless of elected officials.,opponent,stance_trajectory,medium,10,5,66.6,0.0,0.0,0.0,0.13666666666666666,0.31666666666666665,24.4,65.5,0.0,0.0,0.0,5,57.6,0.0,0.0,0.0,0.14333333333333334,0.2991666666666667,39.6,60.0,0.0,0.0,0.0,proponent,-8.999999999999993,0.0,0.0,0.0,0.006666666666666682,-0.01749999999999996,15.200000000000003,-5.5,0.0,0.0,0.0
debate_a11cb409ac4c,Electronic voting machines are designed to enable manipulation of election results by powerful elites.,opponent,stance_trajectory,medium,6,3,52.0,0.0,0.0,0.0,0.05833333333333333,0.7916666666666666,15.0,49.0,0.0,0.0,0.0,3,72.0,0.0,0.058263305322128846,-2.0,0.04444444444444442,0.837037037037037,34.333333333333336,74.0,0.0,0.058823529411764705,-2.0,proponent,20.0,0.0,0.058263305322128846,-2.0,-0.013888888888888909,0.045370370370370394,19.333333333333336,25.0,0.0,0.058823529411764705,-2.0
debate_37cdc29ae9fc,5G wireless networks cause serious health problems including immune system damage and are being deployed despite known dangers.,opponent,stance_trajectory,medium,10,5,49.8,0.0,0.0,0.0,-0.06333333333333332,0.5877777777777778,17.2,45.5,0.0,0.0,0.0,5,63.2,0.023076923076923078,0.0,0.6,0.02424242424242424,0.6640303030303031,33.0,66.0,0.038461538461538464,0.0,1.0,proponent,13.400000000000006,0.023076923076923078,0.0,0.6,0.08757575757575756,0.07625252525252524,15.8,20.5,0.038461538461538464,0.0,1.0
debate_3b4a31685943,Social media platforms use sophisticated algorithms to deliberately manipulate user psychology and political beliefs for profit and control.,opponent,stance_trajectory,medium,10,5,50.8,0.0,0.0,0.0,0.015555555555555553,0.1377777777777778,20.2,47.5,0.0,0.0,0.0,5,57.2,0.0,0.00625,-0.2,0.0998125,0.456375,27.0,59.0,0.0,0.0,0.0,proponent,6.400000000000006,0.0,0.00625,-0.2,0.08425694444444444,0.3185972222222222,6.800000000000001,11.5,0.0,0.0,0.0
debate_b16a7390817c,AI-powered surveillance systems are being deployed globally as part of a coordinated plan for total population monitoring and control.,opponent,stance_trajectory,medium,10,5,49.8,0.0,0.013333333333333332,-0.2,0.01666666666666667,0.35416666666666663,20.0,45.5,0.0,0.0,0.0,5,58.2,0.0,0.03809523809523809,-0.8,-0.03333333333333333,0.4333333333333333,21.2,61.0,0.0,0.047619047619047616,-1.0,proponent,8.400000000000006,0.0,0.02476190476190476,-0.6000000000000001,-0.05,0.07916666666666666,1.1999999999999993,15.5,0.0,0.047619047619047616,-1.0
debate_797dec0f0518,Climate change is a manufactured crisis promoted by global elites to justify increased taxation and control over populations.,opponent,stance_trajectory,medium,6,3,52.333333333333336,0.0,0.0,0.0,0.033333333333333326,0.5333333333333333,15.666666666666666,50.0,0.0,0.0,0.0,3,71.66666666666667,0.0,0.0,0.0,0.125,0.375,26.666666666666668,73.0,0.0,0.0,0.0,proponent,19.333333333333336,0.0,0.0,0.0,0.09166666666666667,-0.15833333333333333,11.000000000000002,23.0,0.0,0.0,0.0
debate_c7530d3a60a2,Commercial aircraft deliberately release chemical or biological agents (chemtrails) as part of secret atmospheric modification programs.,,,low,2,1,55.0,0.0,0.0,0.0,-0.13333333333333333,0.2333333333333333,19.0,,,,,1,80.0,0.0,0.0,0.0,-0.13333333333333333,0.2333333333333333,24.0,80.0,0.0,0.0,0.0,,,,,,,,,,,,
debate_96e2e646164a,The Earth is actually flat and space agencies worldwide are involved in a massive coordinated deception about its spherical shape.,,,low,2,1,55.0,0.0,0.0,0.0,0.175,0.825,16.0,,,,,1,75.0,0.0,0.0,0.0,0.25,1.0,40.0,75.0,0.0,0.0,0.0,,,,,,,,,,,,
debate_262c8c6d3b78,The Federal Reserve is a private cartel of banks that manipulates the economy for the benefit of wealthy elites at the expense of ordinary citizens.,opponent,stance_trajectory,medium,8,4,51.5,0.0,0.0,0.0,0.04375,0.32395833333333335,18.75,48.0,0.0,0.0,0.0,4,60.75,0.0,0.0,0.0,0.05,0.31166666666666665,25.0,65.0,0.0,0.0,0.0,proponent,9.25,0.0,0.0,0.0,0.0062500000000000056,-0.0122916666666667,6.25,17.0,0.0,0.0,0.0
debate_d52c39ee6f00,Central bank digital currencies are designed to enable total government control over personal finances and eliminate financial privacy.,opponent,stance_trajectory,medium,6,3,52.0,0.0,0.0,0.0,-0.01875,0.24708333333333332,20.666666666666668,49.0,0.0,0.0,0.0,3,72.0,0.0,0.011111111111111112,-0.3333333333333333,0.0,0.2922619047619048,30.333333333333332,74.0,0.0,0.0,0.0,proponent,20.0,0.0,0.011111111111111112,-0.3333333333333333,0.01875,0.04517857142857146,9.666666666666664,25.0,0.0,0.0,0.0
