group_type,group_name,rank,term,count,per_1k_tokens,total_tokens
model,gemma3:27b,8,questions,416,7.02477245478647,59219
model,gemma3:27b,9,potential,386,6.518178287373985,59219
model,gemma3:27b,10,agree,376,6.349313564903156,59219
model,gemma3:27b,11,burden,358,6.045357064455665,59219
model,gemma3:27b,12,control,344,5.808946452996505,59219
model,gemma3:27b,13,argues,344,5.808946452996505,59219
model,gemma3:27b,14,epistemic,343,5.792059980749421,59219
model,gemma3:27b,15,agreements,341,5.758287036255256,59219
model,gemma3:27b,16,bridge,341,5.758287036255256,59219
model,gemma3:27b,17,round,341,5.758287036255256,59219
model,gemma3:27b,18,detected,340,5.741400564008173,59219
model,gemma3:27b,19,scores,340,5.741400564008173,59219
model,gemma3:27b,20,disagreements,340,5.741400564008173,59219
model,gemma3:27b,21,recap,340,5.741400564008173,59219
model,gemma3:27b,22,civility,340,5.741400564008173,59219
model,gemma3:27b,23,moves,340,5.741400564008173,59219
model,gemma3:27b,24,moderator,340,5.741400564008173,59219
model,gemma3:27b,25,systemic,324,5.471217008054848,59219
role,moderator,1,ca,3280,42.693879676151305,76826
role,moderator,2,sa,2838,36.940619061255305,76826
role,moderator,3,evidence,1905,24.796292921667145,76826
role,moderator,4,agents,1142,14.864759326269752,76826
role,moderator,5,questions,898,11.688751204019473,76826
role,moderator,6,specific,867,11.285241975372921,76826
role,moderator,7,acknowledge,770,10.02264858251113,76826
role,moderator,8,moves,695,9.046416577721084,76826
role,moderator,9,round,693,9.020383724260016,76826
role,moderator,10,agreements,693,9.020383724260016,76826
role,moderator,11,detected,691,8.994350870798948,76826
role,moderator,12,bridge,691,8.994350870798948,76826
role,moderator,13,epistemic,690,8.981334444068414,76826
role,moderator,14,recap,690,8.981334444068414,76826
role,moderator,15,disagreements,690,8.981334444068414,76826
role,moderator,16,moderator,690,8.981334444068414,76826
role,moderator,17,scores,690,8.981334444068414,76826
role,moderator,18,civility,690,8.981334444068414,76826
role,moderator,19,argues,677,8.812120896571473,76826
role,moderator,20,proof,615,8.00510243927837,76826
role,moderator,21,potential,572,7.44539608986541,76826
role,moderator,22,appeal,539,7.01585400775779,76826
role,moderator,23,burden,453,5.896441308931872,76826
role,moderator,24,agree,436,5.675162054512795,76826
role,moderator,25,shift,420,5.4668992268242524,76826
role,opponent,1,evidence,422,28.013807753584704,15064
role,opponent,2,attributing,168,11.152416356877323,15064
role,opponent,3,requires,158,10.488582049920339,15064
role,opponent,4,claim,156,10.355815188528943,15064
role,opponent,5,acknowledging,152,10.09028146574615,15064
role,opponent,6,control,139,9.227296866702071,15064
role,opponent,7,potential,115,7.634094530005311,15064
role,opponent,8,relies,112,7.434944237918216,15064
role,opponent,9,lacks,110,7.302177376526819,15064
role,opponent,10,demonstrating,104,6.903876792352629,15064
role,opponent,11,government,104,6.903876792352629,15064
role,opponent,12,health,98,6.5055762081784385,15064
role,opponent,13,manipulation,94,6.240042485395645,15064
role,opponent,14,deliberate,90,5.974508762612852,15064
role,opponent,15,supported,83,5.509824747742964,15064
role,opponent,16,scientific,81,5.377057886351567,15064
role,opponent,17,systemic,79,5.2442910249601695,15064
role,opponent,18,specific,75,4.978757302177376,15064
role,opponent,19,designed,71,4.713223579394583,15064
role,opponent,20,does,69,4.5804567180031865,15064
role,opponent,21,anomalies,68,4.514073287307488,15064
role,opponent,22,explanations,68,4.514073287307488,15064
role,opponent,23,surveillance,67,4.44768985661179,15064
role,opponent,24,opponent,66,4.381306425916091,15064
role,opponent,25,influence,66,4.381306425916091,15064
role,proponent,1,control,162,12.990137118114024,12471
role,proponent,2,pattern,128,10.263812043941945,12471
role,proponent,3,scientific,117,9.381765696415684,12471
role,proponent,4,insistence,112,8.980835538449202,12471
role,proponent,5,health,100,8.018603159329645,12471
role,proponent,6,public,99,7.938417127736348,12471
role,proponent,7,agent,90,7.2167428433966805,12471
role,proponent,8,government,90,7.2167428433966805,12471
role,proponent,9,anomalies,90,7.2167428433966805,12471
role,proponent,10,systemic,81,6.495068559057012,12471
role,proponent,11,consistent,81,6.495068559057012,12471
role,proponent,12,isn,80,6.414882527463716,12471
role,proponent,13,evidence,77,6.174324432683827,12471
role,proponent,14,ignores,77,6.174324432683827,12471
role,proponent,15,narrative,75,6.013952369497233,12471
role,proponent,16,surveillance,67,5.372464116750862,12471
role,proponent,17,profit,64,5.1319060219709725,12471
role,proponent,18,agencies,60,4.811161895597787,12471
role,proponent,19,designed,60,4.811161895597787,12471
role,proponent,20,deliberate,60,4.811161895597787,12471
role,proponent,21,industry,53,4.2498596744447115,12471
role,proponent,22,manipulation,49,3.929115548071526,12471
role,proponent,23,power,48,3.8489295164782296,12471
role,proponent,24,institutions,47,3.768743484884933,12471
role,proponent,25,interests,47,3.768743484884933,12471
model_role,dolphin-yi-34b::moderator,1,ca,971,28.437545760726316,34145
model_role,dolphin-yi-34b::moderator,2,sa,962,28.173963977156244,34145
model_role,dolphin-yi-34b::moderator,3,evidence,810,23.722360521306193,34145
model_role,dolphin-yi-34b::moderator,4,questions,489,14.321276907307073,34145
model_role,dolphin-yi-34b::moderator,5,agents,488,14.291990042465955,34145
model_role,dolphin-yi-34b::moderator,6,specific,464,13.589105286279104,34145
model_role,dolphin-yi-34b::moderator,7,moves,355,10.396837018597159,34145
model_role,dolphin-yi-34b::moderator,8,agreements,353,10.338263288914922,34145
model_role,dolphin-yi-34b::moderator,9,round,352,10.308976424073803,34145
model_role,dolphin-yi-34b::moderator,10,detected,351,10.279689559232684,34145
model_role,dolphin-yi-34b::moderator,11,epistemic,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,12,scores,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,13,disagreements,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,14,recap,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,15,moderator,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,16,civility,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,17,bridge,350,10.250402694391566,34145
model_role,dolphin-yi-34b::moderator,18,argues,333,9.752525992092547,34145
model_role,dolphin-yi-34b::moderator,19,acknowledge,332,9.723239127251428,34145
model_role,dolphin-yi-34b::moderator,20,potential,289,8.463903939083322,34145
model_role,dolphin-yi-34b::moderator,21,claim,263,7.702445453214233,34145
model_role,dolphin-yi-34b::moderator,22,control,223,6.530970859569483,34145
model_role,dolphin-yi-34b::moderator,23,appeal,215,6.296675940840533,34145
model_role,dolphin-yi-34b::moderator,24,manipulation,185,5.41806999560697,34145
model_role,dolphin-yi-34b::moderator,25,authority,183,5.359496265924733,34145
model_role,dolphin-yi-34b::opponent,1,evidence,179,26.085689303410085,6862
model_role,dolphin-yi-34b::opponent,2,control,66,9.618187117458467,6862
model_role,dolphin-yi-34b::opponent,3,opponent,64,9.326726901777908,6862
model_role,dolphin-yi-34b::opponent,4,supported,62,9.035266686097348,6862
model_role,dolphin-yi-34b::opponent,5,government,59,8.598076362576508,6862
model_role,dolphin-yi-34b::opponent,6,does,59,8.598076362576508,6862
model_role,dolphin-yi-34b::opponent,7,health,57,8.306616146895948,6862
model_role,dolphin-yi-34b::opponent,8,reliable,52,7.57796560769455,6862
model_role,dolphin-yi-34b::opponent,9,claim,51,7.4322354998542695,6862
model_role,dolphin-yi-34b::opponent,10,scientific,51,7.4322354998542695,6862
model_role,dolphin-yi-34b::opponent,11,designed,47,6.8493150684931505,6862
model_role,dolphin-yi-34b::opponent,12,manipulation,45,6.557854852812591,6862
model_role,dolphin-yi-34b::opponent,13,necessarily,43,6.266394637132032,6862
model_role,dolphin-yi-34b::opponent,14,based,43,6.266394637132032,6862
model_role,dolphin-yi-34b::opponent,15,safety,43,6.266394637132032,6862
model_role,dolphin-yi-34b::opponent,16,agencies,41,5.974934421451472,6862
model_role,dolphin-yi-34b::opponent,17,industry,41,5.974934421451472,6862
model_role,dolphin-yi-34b::opponent,18,deliberately,38,5.5377440979306325,6862
model_role,dolphin-yi-34b::opponent,19,public,37,5.392013990090352,6862
model_role,dolphin-yi-34b::opponent,20,specific,37,5.392013990090352,6862
model_role,dolphin-yi-34b::opponent,21,argument,35,5.100553774409793,6862
model_role,dolphin-yi-34b::opponent,22,systems,35,5.100553774409793,6862
model_role,dolphin-yi-34b::opponent,23,vaccines,34,4.954823666569514,6862
model_role,dolphin-yi-34b::opponent,24,argues,34,4.954823666569514,6862
model_role,dolphin-yi-34b::opponent,25,surveillance,32,4.663363450888954,6862
model_role,dolphin-yi-34b::proponent,1,control,82,19.830713422007253,4135
model_role,dolphin-yi-34b::proponent,2,government,68,16.444981862152357,4135
model_role,dolphin-yi-34b::proponent,3,health,50,12.091898428053204,4135
model_role,dolphin-yi-34b::proponent,4,public,37,8.948004836759372,4135
model_role,dolphin-yi-34b::proponent,5,profit,36,8.706166868198308,4135
model_role,dolphin-yi-34b::proponent,6,surveillance,35,8.464328899637243,4135
model_role,dolphin-yi-34b::proponent,7,agencies,34,8.222490931076178,4135
model_role,dolphin-yi-34b::proponent,8,interests,29,7.013301088270858,4135
model_role,dolphin-yi-34b::proponent,9,vaccines,27,6.52962515114873,4135
model_role,dolphin-yi-34b::proponent,10,potential,26,6.287787182587667,4135
model_role,dolphin-yi-34b::proponent,11,industry,26,6.287787182587667,4135
model_role,dolphin-yi-34b::proponent,12,population,25,6.045949214026602,4135
model_role,dolphin-yi-34b::proponent,13,prioritize,24,5.804111245465538,4135
model_role,dolphin-yi-34b::proponent,14,space,24,5.804111245465538,4135
model_role,dolphin-yi-34b::proponent,15,political,23,5.562273276904474,4135
model_role,dolphin-yi-34b::proponent,16,pharmaceutical,22,5.32043530834341,4135
model_role,dolphin-yi-34b::proponent,17,food,22,5.32043530834341,4135
model_role,dolphin-yi-34b::proponent,18,evidence,21,5.078597339782346,4135
model_role,dolphin-yi-34b::proponent,19,history,21,5.078597339782346,4135
model_role,dolphin-yi-34b::proponent,20,narrative,20,4.836759371221282,4135
model_role,dolphin-yi-34b::proponent,21,ai,20,4.836759371221282,4135
model_role,dolphin-yi-34b::proponent,22,state,20,4.836759371221282,4135
model_role,dolphin-yi-34b::proponent,23,companies,20,4.836759371221282,4135
model_role,dolphin-yi-34b::proponent,24,deep,20,4.836759371221282,4135
model_role,dolphin-yi-34b::proponent,25,safety,19,4.594921402660217,4135
model_role,gemma3:27b::moderator,1,ca,2309,54.09901361261451,42681
model_role,gemma3:27b::moderator,2,sa,1876,43.95398420842998,42681
model_role,gemma3:27b::moderator,3,evidence,1095,25.65544387432347,42681
model_role,gemma3:27b::moderator,4,agents,654,15.322977437267168,42681
model_role,gemma3:27b::moderator,5,proof,479,11.222792343197208,42681
model_role,gemma3:27b::moderator,6,acknowledge,438,10.262177549729389,42681
model_role,gemma3:27b::moderator,7,questions,409,9.582718305569223,42681
model_role,gemma3:27b::moderator,8,specific,403,9.442140530915395,42681
model_role,gemma3:27b::moderator,9,agree,376,8.809540544973173,42681
model_role,gemma3:27b::moderator,10,argues,344,8.059792413486095,42681
model_role,gemma3:27b::moderator,11,bridge,341,7.989503526159181,42681
model_role,gemma3:27b::moderator,12,round,341,7.989503526159181,42681
model_role,gemma3:27b::moderator,13,recap,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,14,agreements,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,15,scores,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,16,civility,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,17,detected,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,18,epistemic,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,19,disagreements,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,20,moderator,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,21,moves,340,7.96607389705021,42681
model_role,gemma3:27b::moderator,22,burden,338,7.919214638832267,42681
model_role,gemma3:27b::moderator,23,appeal,324,7.59119983130667,42681
model_role,gemma3:27b::moderator,24,shift,317,7.427192427543872,42681
model_role,gemma3:27b::moderator,25,potential,283,6.630585037838851,42681
model_role,gemma3:27b::opponent,1,evidence,243,29.626920263350403,8202
model_role,gemma3:27b::opponent,2,attributing,168,20.482809070958304,8202
model_role,gemma3:27b::opponent,3,requires,155,18.89782979761034,8202
model_role,gemma3:27b::opponent,4,acknowledging,152,18.532065349914657,8202
model_role,gemma3:27b::opponent,5,claim,105,12.801755669348939,8202
model_role,gemma3:27b::opponent,6,demonstrating,103,12.557912704218483,8202
model_role,gemma3:27b::opponent,7,lacks,89,10.851011948305292,8202
model_role,gemma3:27b::opponent,8,potential,84,10.241404535479152,8202
model_role,gemma3:27b::opponent,9,relies,83,10.119483052913923,8202
model_role,gemma3:27b::opponent,10,deliberate,75,9.1441111923921,8202
model_role,gemma3:27b::opponent,11,control,73,8.900268227261643,8202
model_role,gemma3:27b::opponent,12,explanations,59,7.193367471348451,8202
model_role,gemma3:27b::opponent,13,sufficient,57,6.949524506217996,8202
model_role,gemma3:27b::opponent,14,solely,55,6.705681541087539,8202
model_role,gemma3:27b::opponent,15,systemic,55,6.705681541087539,8202
model_role,gemma3:27b::opponent,16,manipulation,49,5.974152645696171,8202
model_role,gemma3:27b::opponent,17,alternative,48,5.852231163130944,8202
model_role,gemma3:27b::opponent,18,anomalies,48,5.852231163130944,8202
model_role,gemma3:27b::opponent,19,mechanism,47,5.730309680565716,8202
model_role,gemma3:27b::opponent,20,government,45,5.4864667154352595,8202
model_role,gemma3:27b::opponent,21,influence,45,5.4864667154352595,8202
model_role,gemma3:27b::opponent,22,framing,43,5.242623750304804,8202
model_role,gemma3:27b::opponent,23,link,42,5.120702267739576,8202
model_role,gemma3:27b::opponent,24,health,41,4.998780785174348,8202
model_role,gemma3:27b::opponent,25,established,40,4.87685930260912,8202
model_role,gemma3:27b::proponent,1,pattern,118,14.155470249520153,8336
model_role,gemma3:27b::proponent,2,scientific,113,13.555662188099808,8336
model_role,gemma3:27b::proponent,3,insistence,112,13.435700575815739,8336
model_role,gemma3:27b::proponent,4,agent,89,10.67658349328215,8336
model_role,gemma3:27b::proponent,5,isn,80,9.596928982725528,8336
model_role,gemma3:27b::proponent,6,control,80,9.596928982725528,8336
model_role,gemma3:27b::proponent,7,anomalies,80,9.596928982725528,8336
model_role,gemma3:27b::proponent,8,ignores,77,9.23704414587332,8336
model_role,gemma3:27b::proponent,9,systemic,69,8.277351247600768,8336
model_role,gemma3:27b::proponent,10,consistent,63,7.557581573896353,8336
model_role,gemma3:27b::proponent,11,public,62,7.437619961612284,8336
model_role,gemma3:27b::proponent,12,evidence,56,6.717850287907869,8336
model_role,gemma3:27b::proponent,13,narrative,55,6.597888675623801,8336
model_role,gemma3:27b::proponent,14,deliberate,51,6.118042226487524,8336
model_role,gemma3:27b::proponent,15,health,50,5.998080614203455,8336
model_role,gemma3:27b::proponent,16,designed,43,5.158349328214971,8336
model_role,gemma3:27b::proponent,17,documented,39,4.678502879078695,8336
model_role,gemma3:27b::proponent,18,consistently,38,4.5585412667946255,8336
model_role,gemma3:27b::proponent,19,independent,38,4.5585412667946255,8336
model_role,gemma3:27b::proponent,20,proof,38,4.5585412667946255,8336
model_role,gemma3:27b::proponent,21,creating,37,4.438579654510557,8336
model_role,gemma3:27b::proponent,22,power,36,4.318618042226488,8336
model_role,gemma3:27b::proponent,23,institutions,35,4.198656429942418,8336
model_role,gemma3:27b::proponent,24,incentives,34,4.0786948176583495,8336
model_role,gemma3:27b::proponent,25,genuine,34,4.0786948176583495,8336
topic,5g_health_risks,1,5g,177,34.61087211576066,5114
topic,5g_health_risks,2,ca,165,32.26437231130231,5114
topic,5g_health_risks,3,sa,137,26.78920610089949,5114
topic,5g_health_risks,4,evidence,118,23.073914743840437,5114
topic,5g_health_risks,5,health,107,20.922956589753618,5114
topic,5g_health_risks,6,safety,96,18.7719984356668,5114
topic,5g_health_risks,7,potential,61,11.928040672663277,5114
topic,5g_health_risks,8,specific,58,11.34141572154869,5114
topic,5g_health_risks,9,industry,52,10.168165819319515,5114
topic,5g_health_risks,10,agents,51,9.972624168947986,5114
topic,5g_health_risks,11,technology,50,9.777082518576456,5114
topic,5g_health_risks,12,public,47,9.19045756746187,5114
topic,5g_health_risks,13,research,46,8.99491591709034,5114
topic,5g_health_risks,14,deployment,45,8.79937426671881,5114
topic,5g_health_risks,15,questions,45,8.79937426671881,5114
topic,5g_health_risks,16,risks,42,8.212749315604224,5114
topic,5g_health_risks,17,effects,41,8.017207665232695,5114
topic,5g_health_risks,18,profit,41,8.017207665232695,5114
topic,5g_health_risks,19,acknowledge,38,7.430582714118107,5114
topic,5g_health_risks,20,studies,34,6.648416112631991,5114
topic,5g_health_risks,21,moderator,33,6.4528744622604615,5114
topic,5g_health_risks,22,moves,33,6.4528744622604615,5114
topic,5g_health_risks,23,bridge,33,6.4528744622604615,5114
topic,5g_health_risks,24,scores,33,6.4528744622604615,5114
topic,5g_health_risks,25,epistemic,33,6.4528744622604615,5114
topic,9_11_inside_job,1,ca,146,31.919545255793615,4574
topic,9_11_inside_job,2,sa,131,28.64013992129427,4574
topic,9_11_inside_job,3,evidence,124,27.10975076519458,4574
topic,9_11_inside_job,4,11,118,25.79798863139484,4574
topic,9_11_inside_job,5,narrative,68,14.866637516397027,4574
topic,9_11_inside_job,6,attacks,68,14.866637516397027,4574
topic,9_11_inside_job,7,official,62,13.55487538259729,4574
topic,9_11_inside_job,8,anomalies,54,11.805859204197638,4574
topic,9_11_inside_job,9,questions,53,11.587232181897683,4574
topic,9_11_inside_job,10,agents,53,11.587232181897683,4574
topic,9_11_inside_job,11,government,52,11.368605159597726,4574
topic,9_11_inside_job,12,specific,49,10.712724092697858,4574
topic,9_11_inside_job,13,pre,40,8.745080891998251,4574
topic,9_11_inside_job,14,collapse,38,8.307826847398339,4574
topic,9_11_inside_job,15,failures,38,8.307826847398339,4574
topic,9_11_inside_job,16,inconsistencies,37,8.089199825098381,4574
topic,9_11_inside_job,17,investigation,37,8.089199825098381,4574
topic,9_11_inside_job,18,systemic,36,7.870572802798426,4574
topic,9_11_inside_job,19,cover,36,7.870572802798426,4574
topic,9_11_inside_job,20,argues,35,7.65194578049847,4574
topic,9_11_inside_job,21,acknowledge,34,7.433318758198514,4574
topic,9_11_inside_job,22,proof,33,7.214691735898557,4574
topic,9_11_inside_job,23,disagreements,31,6.777437691298645,4574
topic,9_11_inside_job,24,scores,31,6.777437691298645,4574
topic,9_11_inside_job,25,round,31,6.777437691298645,4574
topic,ai_surveillance,1,surveillance,188,32.75261324041812,5740
topic,ai_surveillance,2,ca,179,31.18466898954704,5740
topic,ai_surveillance,3,sa,169,29.442508710801395,5740
topic,ai_surveillance,4,control,140,24.390243902439025,5740
topic,ai_surveillance,5,ai,130,22.64808362369338,5740
topic,ai_surveillance,6,coordinated,115,20.034843205574912,5740
topic,ai_surveillance,7,evidence,106,18.466898954703833,5740
topic,ai_surveillance,8,plan,95,16.550522648083625,5740
topic,ai_surveillance,9,systems,75,13.066202090592334,5740
topic,ai_surveillance,10,agents,58,10.104529616724738,5740
topic,ai_surveillance,11,global,57,9.930313588850174,5740
topic,ai_surveillance,12,security,56,9.75609756097561,5740
topic,ai_surveillance,13,total,56,9.75609756097561,5740
topic,ai_surveillance,14,specific,49,8.536585365853659,5740
topic,ai_surveillance,15,questions,48,8.362369337979095,5740
topic,ai_surveillance,16,population,47,8.18815331010453,5740
topic,ai_surveillance,17,deployment,43,7.491289198606272,5740
topic,ai_surveillance,18,argues,43,7.491289198606272,5740
topic,ai_surveillance,19,acknowledge,43,7.491289198606272,5740
topic,ai_surveillance,20,epistemic,38,6.620209059233449,5740
topic,ai_surveillance,21,moves,38,6.620209059233449,5740
topic,ai_surveillance,22,civility,38,6.620209059233449,5740
topic,ai_surveillance,23,disagreements,38,6.620209059233449,5740
topic,ai_surveillance,24,moderator,38,6.620209059233449,5740
topic,ai_surveillance,25,recap,38,6.620209059233449,5740
topic,big_pharma,1,ca,159,30.274181264280273,5252
topic,big_pharma,2,sa,154,29.32216298552932,5252
topic,big_pharma,3,pharmaceutical,134,25.514089870525513,5252
topic,big_pharma,4,evidence,125,23.8004569687738,5252
topic,big_pharma,5,suppression,113,21.515613099771517,5252
topic,big_pharma,6,cures,104,19.801980198019802,5252
topic,big_pharma,7,profit,103,19.61157654226961,5252
topic,big_pharma,8,companies,82,15.613099771515612,5252
topic,big_pharma,9,research,60,11.424219345011425,5252
topic,big_pharma,10,treatments,59,11.233815689261235,5252
topic,big_pharma,11,agents,59,11.233815689261235,5252
topic,big_pharma,12,industry,54,10.281797410510281,5252
topic,big_pharma,13,effective,46,8.758568164508759,5252
topic,big_pharma,14,questions,46,8.758568164508759,5252
topic,big_pharma,15,specific,44,8.377760853008377,5252
topic,big_pharma,16,development,43,8.187357197258187,5252
topic,big_pharma,17,pattern,41,7.806549885757806,5252
topic,big_pharma,18,acknowledge,38,7.235338918507235,5252
topic,big_pharma,19,systemic,37,7.044935262757045,5252
topic,big_pharma,20,argues,37,7.044935262757045,5252
topic,big_pharma,21,drug,36,6.854531607006854,5252
topic,big_pharma,22,round,36,6.854531607006854,5252
topic,big_pharma,23,scores,35,6.664127951256664,5252
topic,big_pharma,24,disagreements,35,6.664127951256664,5252
topic,big_pharma,25,recap,35,6.664127951256664,5252
topic,chemtrails,1,ca,172,34.81076705120421,4941
topic,chemtrails,2,atmospheric,154,31.167779801659584,4941
topic,chemtrails,3,sa,135,27.3224043715847,4941
topic,chemtrails,4,evidence,130,26.310463468933413,4941
topic,chemtrails,5,modification,84,17.00060716454159,4941
topic,chemtrails,6,agents,76,15.381501720299534,4941
topic,chemtrails,7,contrails,59,11.940902651285166,4941
topic,chemtrails,8,programs,57,11.53612629022465,4941
topic,chemtrails,9,secret,52,10.524185387573366,4941
topic,chemtrails,10,phenomena,43,8.702691762801052,4941
topic,chemtrails,11,natural,43,8.702691762801052,4941
topic,chemtrails,12,contrail,42,8.500303582270796,4941
topic,chemtrails,13,questions,39,7.893139040680024,4941
topic,chemtrails,14,data,39,7.893139040680024,4941
topic,chemtrails,15,aircraft,39,7.893139040680024,4941
topic,chemtrails,16,proof,38,7.690750860149767,4941
topic,chemtrails,17,acknowledge,38,7.690750860149767,4941
topic,chemtrails,18,commercial,37,7.48836267961951,4941
topic,chemtrails,19,scientific,36,7.285974499089253,4941
topic,chemtrails,20,specific,33,6.6788099574984825,4941
topic,chemtrails,21,deliberate,32,6.476421776968225,4941
topic,chemtrails,22,argues,32,6.476421776968225,4941
topic,chemtrails,23,detected,31,6.274033596437968,4941
topic,chemtrails,24,anomalies,31,6.274033596437968,4941
topic,chemtrails,25,disagreements,31,6.274033596437968,4941
topic,climate_change_hoax,1,ca,165,34.85424588086185,4734
topic,climate_change_hoax,2,climate,158,33.375580904098015,4734
topic,climate_change_hoax,3,sa,132,27.88339670468948,4734
topic,climate_change_hoax,4,change,104,21.968736797634136,4734
topic,climate_change_hoax,5,evidence,102,21.546261089987325,4734
topic,climate_change_hoax,6,policies,56,11.829319814110688,4734
topic,climate_change_hoax,7,political,55,11.618081960287283,4734
topic,climate_change_hoax,8,agents,55,11.618081960287283,4734
topic,climate_change_hoax,9,ipcc,54,11.406844106463879,4734
topic,climate_change_hoax,10,scientific,54,11.406844106463879,4734
topic,climate_change_hoax,11,questions,50,10.561892691170257,4734
topic,climate_change_hoax,12,control,49,10.350654837346852,4734
topic,climate_change_hoax,13,specific,46,9.716941275876637,4734
topic,climate_change_hoax,14,global,37,7.81580059146599,4734
topic,climate_change_hoax,15,agreements,35,7.39332488381918,4734
topic,climate_change_hoax,16,potential,34,7.182087029995775,4734
topic,climate_change_hoax,17,influence,32,6.759611322348965,4734
topic,climate_change_hoax,18,acknowledge,31,6.5483734685255595,4734
topic,climate_change_hoax,19,disagreements,30,6.337135614702155,4734
topic,climate_change_hoax,20,moves,30,6.337135614702155,4734
topic,climate_change_hoax,21,moderator,30,6.337135614702155,4734
topic,climate_change_hoax,22,bridge,30,6.337135614702155,4734
topic,climate_change_hoax,23,recap,30,6.337135614702155,4734
topic,climate_change_hoax,24,round,30,6.337135614702155,4734
topic,climate_change_hoax,25,scores,30,6.337135614702155,4734
topic,covid_vaccine_microchips,1,ca,149,31.44786829886028,4738
topic,covid_vaccine_microchips,2,vaccines,125,26.382439848037148,4738
topic,covid_vaccine_microchips,3,sa,121,25.538201772899956,4738
topic,covid_vaccine_microchips,4,surveillance,104,21.950189953566905,4738
topic,covid_vaccine_microchips,5,evidence,97,20.472773322076826,4738
topic,covid_vaccine_microchips,6,vaccine,89,18.78429717180245,4738
topic,covid_vaccine_microchips,7,covid,76,16.040523427606583,4738
topic,covid_vaccine_microchips,8,19,76,16.040523427606583,4738
topic,covid_vaccine_microchips,9,tracking,75,15.829463908822287,4738
topic,covid_vaccine_microchips,10,microchips,57,12.030392570704938,4738
topic,covid_vaccine_microchips,11,data,57,12.030392570704938,4738
topic,covid_vaccine_microchips,12,agents,53,11.18615449556775,4738
topic,covid_vaccine_microchips,13,potential,43,9.07555930772478,4738
topic,covid_vaccine_microchips,14,control,42,8.864499788940481,4738
topic,covid_vaccine_microchips,15,claim,42,8.864499788940481,4738
topic,covid_vaccine_microchips,16,health,42,8.864499788940481,4738
topic,covid_vaccine_microchips,17,development,42,8.864499788940481,4738
topic,covid_vaccine_microchips,18,questions,41,8.653440270156183,4738
topic,covid_vaccine_microchips,19,technology,38,8.020261713803292,4738
topic,covid_vaccine_microchips,20,concerns,38,8.020261713803292,4738
topic,covid_vaccine_microchips,21,specific,36,7.598142676234698,4738
topic,covid_vaccine_microchips,22,acknowledge,36,7.598142676234698,4738
topic,covid_vaccine_microchips,23,disagreements,30,6.331785563528915,4738
topic,covid_vaccine_microchips,24,detected,30,6.331785563528915,4738
