run_id,turn_index,confidence_delta_within_role,model_name,debate_role,abs_delta,is_turning_point
run_20260208_110425,14,19.0,gemma3:27b,opponent,19.0,1
run_20260208_111131,4,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_111131,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_111131,7,-4.0,gemma3:27b,proponent,4.0,0
run_20260208_111131,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_111131,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_111131,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_111131,13,-4.0,gemma3:27b,proponent,4.0,0
run_20260208_111131,14,-5.0,gemma3:27b,opponent,5.0,1
run_20260208_111711,4,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_111711,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_111711,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_111711,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_111711,10,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_111711,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_112354,4,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_112354,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_112354,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_112354,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_112354,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_112354,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_112354,13,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_112354,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_113120,4,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_113120,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_113120,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_113120,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_113120,10,-4.0,gemma3:27b,proponent,4.0,0
run_20260208_113120,11,3.0,gemma3:27b,opponent,3.0,0
run_20260208_113120,13,-6.0,gemma3:27b,proponent,6.0,1
run_20260208_113120,14,5.0,gemma3:27b,opponent,5.0,1
run_20260208_113710,4,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_113710,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_113710,7,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_113710,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_113710,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_113710,11,23.0,gemma3:27b,opponent,23.0,1
run_20260208_114345,4,3.0,gemma3:27b,proponent,3.0,0
run_20260208_114345,5,-2.0,gemma3:27b,opponent,2.0,0
run_20260208_114345,7,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_114345,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_114345,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_114345,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_114345,13,2.0,gemma3:27b,proponent,2.0,0
run_20260208_114345,14,1.0,gemma3:27b,opponent,1.0,0
run_20260208_115100,4,2.0,gemma3:27b,proponent,2.0,0
run_20260208_115100,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_115100,7,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_115100,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_115100,10,1.0,gemma3:27b,proponent,1.0,0
run_20260208_115100,11,2.0,gemma3:27b,opponent,2.0,0
run_20260208_115100,13,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_115100,14,1.0,gemma3:27b,opponent,1.0,0
run_20260208_115750,4,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_115750,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_115750,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_115750,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_115750,10,1.0,gemma3:27b,proponent,1.0,0
run_20260208_115750,11,-2.0,gemma3:27b,opponent,2.0,0
run_20260208_115750,13,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_115750,14,1.0,gemma3:27b,opponent,1.0,0
run_20260208_120342,4,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_120342,5,15.0,gemma3:27b,opponent,15.0,1
run_20260208_120342,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_120342,8,-2.0,gemma3:27b,opponent,2.0,0
run_20260208_120342,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_120342,11,12.0,gemma3:27b,opponent,12.0,1
run_20260208_121134,4,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_121134,5,1.0,gemma3:27b,opponent,1.0,0
run_20260208_121134,7,2.0,gemma3:27b,proponent,2.0,0
run_20260208_121134,8,-1.0,gemma3:27b,opponent,1.0,0
run_20260208_121134,10,5.0,gemma3:27b,proponent,5.0,1
run_20260208_121134,11,-3.0,gemma3:27b,opponent,3.0,0
run_20260208_121134,13,2.0,gemma3:27b,proponent,2.0,0
run_20260208_121134,14,5.0,gemma3:27b,opponent,5.0,1
run_20260208_121908,4,1.0,gemma3:27b,proponent,1.0,0
run_20260208_121908,5,-1.0,gemma3:27b,opponent,1.0,0
run_20260208_121908,7,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_121908,8,2.0,gemma3:27b,opponent,2.0,0
run_20260208_121908,10,2.0,gemma3:27b,proponent,2.0,0
run_20260208_121908,11,1.0,gemma3:27b,opponent,1.0,0
run_20260208_121908,13,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_121908,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_122536,4,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_122536,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_122536,7,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_122536,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_122536,10,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_122536,11,3.0,gemma3:27b,opponent,3.0,0
run_20260208_122536,13,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_122536,14,3.0,gemma3:27b,opponent,3.0,0
run_20260208_123231,4,-5.0,gemma3:27b,proponent,5.0,1
run_20260208_123231,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_123231,7,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_123231,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_123231,10,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_123231,11,-3.0,gemma3:27b,opponent,3.0,0
run_20260208_123231,13,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_123231,14,2.0,gemma3:27b,opponent,2.0,0
run_20260208_123941,4,5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_123941,5,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_123941,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_123941,8,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_123941,10,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_123941,11,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_124809,4,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_124809,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_124809,7,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_124809,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_124809,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_124809,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_124809,13,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_124809,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_125658,4,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_125658,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_125658,7,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_125658,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_125658,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_125658,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_125658,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_125658,14,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_130544,4,0.0,dolphin-yi-34b,proponent,0.0,0
run_20260208_130544,5,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_130544,7,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_130544,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_130544,10,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_130544,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_130544,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_130544,14,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_131027,4,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_131027,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_131027,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_131027,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_131727,4,-5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_131727,5,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_131727,7,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_131727,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_131727,10,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_131727,11,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_132525,4,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_132525,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_132525,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_132525,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_132525,10,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_132525,11,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_132525,13,-7.0,dolphin-yi-34b,proponent,7.0,1
run_20260208_132525,14,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_133351,4,15.0,dolphin-yi-34b,proponent,15.0,1
run_20260208_133351,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_133351,7,-5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_133351,8,8.0,dolphin-yi-34b,opponent,8.0,1
run_20260208_133351,10,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_133351,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_133351,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_133351,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_134040,4,-5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_134040,5,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_134040,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_134040,8,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_134040,10,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_134040,11,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_134934,4,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_134934,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_134934,7,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_134934,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_134934,10,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_134934,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_134934,13,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_134934,14,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_135839,4,5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_135839,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_135839,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_135839,8,3.0,dolphin-yi-34b,opponent,3.0,0
run_20260208_135839,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_135839,11,3.0,dolphin-yi-34b,opponent,3.0,0
run_20260208_135839,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_135839,14,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_140514,4,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_140514,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_140514,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_140514,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_141220,4,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_141220,5,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_141220,7,-5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_141220,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_141220,10,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_141220,11,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_141839,4,-20.0,dolphin-yi-34b,proponent,20.0,1
run_20260208_141839,5,10.0,dolphin-yi-34b,opponent,10.0,1
run_20260208_141839,7,-5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_141839,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_141839,10,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_141839,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_142834,4,5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_142834,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_142834,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_142834,8,13.0,dolphin-yi-34b,opponent,13.0,1
run_20260208_142834,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_142834,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_142834,13,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_142834,14,-1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_143453,4,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_143453,5,10.0,dolphin-yi-34b,opponent,10.0,1
run_20260208_143453,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_143453,8,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_143453,10,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_143453,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_144330,4,5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_144330,5,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_144330,7,0.0,dolphin-yi-34b,proponent,0.0,0
run_20260208_144330,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_144330,10,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_144330,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_144330,13,1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_144330,14,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_145332,4,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_145332,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_145332,7,0.0,dolphin-yi-34b,proponent,0.0,0
run_20260208_145332,8,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_145332,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_145332,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_145332,13,-1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_145332,14,23.0,dolphin-yi-34b,opponent,23.0,1
run_20260208_150311,4,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_150311,5,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_150311,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_150311,8,10.0,dolphin-yi-34b,opponent,10.0,1
run_20260208_150311,10,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_150311,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_151103,4,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_151103,5,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_151103,7,-10.0,dolphin-yi-34b,proponent,10.0,1
run_20260208_151103,8,5.0,dolphin-yi-34b,opponent,5.0,1
run_20260208_151103,10,-5.0,dolphin-yi-34b,proponent,5.0,1
run_20260208_151103,11,0.0,dolphin-yi-34b,opponent,0.0,0
run_20260208_151945,4,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_151945,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_151945,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_151945,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_152953,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_152953,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_152953,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_152953,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_152953,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_152953,11,3.0,dolphin-yi-34b,opponent,3.0,0
run_20260208_152953,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_152953,14,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_153335,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_153335,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_154538,4,12.0,dolphin-yi-34b,proponent,12.0,1
run_20260208_154538,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_154538,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_154538,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_154538,10,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_154538,11,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_154538,13,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_154538,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_155117,4,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_155117,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_155117,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_155117,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_160144,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_160144,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_160144,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_160144,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_160144,10,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_160144,11,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_160144,13,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_160144,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_161212,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_161212,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_161212,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_161212,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_161212,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_161212,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_161212,13,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_161212,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_162210,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_162210,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_162210,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_162210,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_162210,10,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_162210,11,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_162210,13,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_162210,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_162821,4,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_162821,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_162821,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_162821,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_164112,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_164112,5,3.0,dolphin-yi-34b,opponent,3.0,0
run_20260208_164112,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_164112,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_164112,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_164112,11,10.0,dolphin-yi-34b,opponent,10.0,1
run_20260208_164615,4,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_164615,5,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_164615,7,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_164615,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_165632,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_165632,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_165632,7,0.0,dolphin-yi-34b,proponent,0.0,0
run_20260208_165632,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_165632,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_165632,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_165632,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_165632,14,3.0,dolphin-yi-34b,opponent,3.0,0
run_20260208_170602,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_170602,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_170602,7,1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_170602,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_170602,10,2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_170602,11,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_170602,13,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_170602,14,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_171702,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_171702,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_171702,7,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_171702,8,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_171702,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_171702,11,3.0,dolphin-yi-34b,opponent,3.0,0
run_20260208_171702,13,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_171702,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_174705,4,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_174705,5,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_174705,7,1.0,dolphin-yi-34b,proponent,1.0,0
run_20260208_174705,8,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_174705,10,-2.0,dolphin-yi-34b,proponent,2.0,0
run_20260208_174705,11,1.0,dolphin-yi-34b,opponent,1.0,0
run_20260208_174705,13,-3.0,dolphin-yi-34b,proponent,3.0,0
run_20260208_174705,14,2.0,dolphin-yi-34b,opponent,2.0,0
run_20260208_175659,4,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_175659,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_175659,7,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_175659,8,1.0,gemma3:27b,opponent,1.0,0
run_20260208_175659,10,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_175659,11,0.0,gemma3:27b,opponent,0.0,0
run_20260208_175659,13,-2.0,gemma3:27b,proponent,2.0,0
run_20260208_175659,14,1.0,gemma3:27b,opponent,1.0,0
run_20260208_180806,4,-3.0,gemma3:27b,proponent,3.0,0
run_20260208_180806,5,2.0,gemma3:27b,opponent,2.0,0
run_20260208_180806,7,-1.0,gemma3:27b,proponent,1.0,0
run_20260208_180806,8,3.0,gemma3:27b,opponent,3.0,0
run_20260208_180806,10,-1.0,gemma3:27b,proponent,1.0,0
