group_type,group_name,rank,term,target_tfidf_mean,other_tfidf_mean,tfidf_gap
model,dolphin-yi-34b,24,safety efficacy,0.005450390114759982,0.0002487922961080982,0.005201597818651884
model,dolphin-yi-34b,25,systems,0.009858209028771197,0.00465747662299404,0.005200732405777157
model,dolphin-yi-34b,26,apollo moon,0.0053170449367345475,0.00015342472645768252,0.005163620210276865
model,dolphin-yi-34b,27,supported reliable,0.005286483185885583,0.0002835700851984023,0.00500291310068718
model,dolphin-yi-34b,28,safety,0.012511255640654372,0.0075142244149440625,0.00499703122571031
model,dolphin-yi-34b,29,health,0.01677550170172628,0.011812659421687416,0.004962842280038864
model,dolphin-yi-34b,30,psychology political,0.005212746989130083,0.0002800445343520277,0.004932702454778055
model,gemma3:27b,1,ca,0.05812504710146865,0.027672191022491206,0.030452856078977446
model,gemma3:27b,2,sa,0.04761253418674101,0.027169070605570885,0.020443463581170124
model,gemma3:27b,3,acknowledging,0.016344051228515063,0.0008528091330057514,0.015491242095509311
model,gemma3:27b,4,attributing,0.016549164939369445,0.0011406857524539388,0.015408479186915507
model,gemma3:27b,5,requires,0.016088123795914736,0.0014543487736027104,0.014633775022312025
model,gemma3:27b,6,proof,0.018503562621943255,0.0047615868072327094,0.013741975814710546
model,gemma3:27b,7,insistence,0.012839473094844928,0.00017558483251759838,0.01266388826232733
model,gemma3:27b,8,demonstrating,0.012751820464487777,0.0013394548358242266,0.01141236562866355
model,gemma3:27b,9,pattern,0.01624980606721869,0.0051369030329024585,0.011112903034316233
model,gemma3:27b,10,requires demonstrating,0.010846454728519505,0.00041576534928306456,0.01043068937923644
model,gemma3:27b,11,isn,0.010547261224554131,0.000602243929372973,0.009945017295181158
model,gemma3:27b,12,agree,0.011992281681464028,0.002147889616028436,0.009844392065435591
model,gemma3:27b,13,scientific agent,0.010300189512051262,0.0004655588655973982,0.009834630646453863
model,gemma3:27b,14,ignores,0.011359762558686407,0.0017196966459881579,0.009640065912698248
model,gemma3:27b,15,questions ca,0.010203136045729639,0.000911327700346498,0.00929180834538314
model,gemma3:27b,16,framing,0.009935580682070184,0.0006518381285935447,0.00928374255347664
model,gemma3:27b,17,agent,0.010291033760747548,0.001225292970159595,0.009065740790587954
model,gemma3:27b,18,focuses,0.009775529544850005,0.000992884099778527,0.008782645445071478
model,gemma3:27b,19,systemic,0.01656805247757599,0.00789636792948026,0.00867168454809573
model,gemma3:27b,20,deliberate,0.014727954724530824,0.006385010413466928,0.008342944311063895
model,gemma3:27b,21,sufficient,0.009785701288708678,0.0018100459843577608,0.007975655304350918
model,gemma3:27b,22,burden,0.011978638930623108,0.004030108300092231,0.007948530630530876
model,gemma3:27b,23,burden proof,0.011530451033846052,0.003692458511214094,0.007837992522631957
model,gemma3:27b,24,frames,0.007982670681629384,0.0001827882267033582,0.007799882454926026
model,gemma3:27b,25,anomalies,0.017049631550920513,0.00976819427978263,0.007281437271137883
model,gemma3:27b,26,ca focuses,0.007398183024913254,0.00013061952611753615,0.007267563498795718
model,gemma3:27b,27,mechanism,0.008406237149173492,0.0012129527647914808,0.007193284384382011
model,gemma3:27b,28,evidence,0.0351181748645113,0.02793784866335026,0.0071803262011610365
model,gemma3:27b,29,acknowledging potential,0.007266815605164353,0.00032893810286710093,0.006937877502297252
model,gemma3:27b,30,emphasizes,0.009377407156664831,0.0026277797902368462,0.0067496273664279845
role,moderator,1,ca,0.12966681781454473,0.0,0.12966681781454473
role,moderator,2,sa,0.1111581614712421,0.0008330331475880224,0.11032512832365408
role,moderator,3,agents,0.04562308273784739,0.0008828401040654745,0.044740242633781915
role,moderator,4,evidence,0.05838236841831759,0.018215302405161653,0.040167066013155936
role,moderator,5,questions,0.03582707832493193,0.0007602174190109477,0.03506686090592098
role,moderator,6,acknowledge,0.031333870948118125,0.0001717761528627041,0.031162094795255422
role,moderator,7,specific,0.034967052612507515,0.003975486807872463,0.03099156580463505
role,moderator,8,moves,0.028131040920929253,0.0,0.028131040920929253
role,moderator,9,detected,0.02799281003381244,0.0,0.02799281003381244
role,moderator,10,bridge,0.027986652197452656,0.0,0.027986652197452656
role,moderator,11,round,0.028025231057717457,7.201477598691183e-05,0.027953216281730545
role,moderator,12,bridge questions,0.027943130725886816,0.0,0.027943130725886816
role,moderator,13,epistemic bridge,0.027943130725886816,0.0,0.027943130725886816
role,moderator,14,scores civility,0.027943130725886816,0.0,0.027943130725886816
role,moderator,15,moderator,0.027943130725886816,0.0,0.027943130725886816
role,moderator,16,disagreements,0.027943130725886816,0.0,0.027943130725886816
role,moderator,17,moderator round,0.027943130725886816,0.0,0.027943130725886816
role,moderator,18,recap agreements,0.027943130725886816,0.0,0.027943130725886816
role,moderator,19,recap,0.027943130725886816,0.0,0.027943130725886816
role,moderator,20,round recap,0.027943130725886816,0.0,0.027943130725886816
role,moderator,21,scores,0.027943130725886816,0.0,0.027943130725886816
role,moderator,22,detected moves,0.027943130725886816,0.0,0.027943130725886816
role,moderator,23,civility epistemic,0.027943130725886816,0.0,0.027943130725886816
role,moderator,24,civility,0.027943130725886816,0.0,0.027943130725886816
role,moderator,25,agreements,0.02800070193533106,7.462032298840806e-05,0.02792608161234265
role,moderator,26,epistemic,0.02788542155887603,0.00016792568893192055,0.027717495869944108
role,moderator,27,agreements agents,0.027408470030717808,0.0,0.027408470030717808
role,moderator,28,argues,0.02822286055179718,0.0014826305186386509,0.026740230033158528
role,moderator,29,disagreements ca,0.02666349429192069,0.0,0.02666349429192069
role,moderator,30,agents acknowledge,0.02537041159474175,0.0,0.02537041159474175
role,opponent,1,attributing,0.0242808025628671,0.0013892172645430325,0.02289158529832407
role,opponent,2,acknowledging,0.022385614090413734,0.0019665964460392443,0.02041901764437449
role,opponent,3,requires,0.0224666490291672,0.0021715285871435354,0.020295120442023667
role,opponent,4,lacks,0.017727246787582116,0.0014986050167584489,0.016228641770823667
role,opponent,5,requires demonstrating,0.01589516259588246,0.0006763982029731013,0.015218764392909357
role,opponent,6,supported,0.014713858571171872,0.0005288608979361709,0.014184997673235701
role,opponent,7,demonstrating,0.01601092816342283,0.0027545347393593,0.013256393424063533
role,opponent,8,evidence relies,0.013510299956613854,0.0002874377148006159,0.013222862241813238
role,opponent,9,relies,0.016332272164615243,0.003366048415574487,0.012966223749040755
role,opponent,10,reliable,0.011496026936006156,0.0007500527600745982,0.010745974175931558
role,opponent,11,acknowledging potential,0.010408819498140997,0.0006101098904011192,0.009798709607739878
role,opponent,12,opponent,0.010995116309511896,0.001635308744686445,0.009359807564825452
role,opponent,13,lacks sufficient,0.009989009291759969,0.0006578270263019196,0.009331182265458048
role,opponent,14,motion,0.009278394743303425,0.000370707371268263,0.008907687372035162
role,opponent,15,supported reliable,0.007992284427181789,0.00010735487112857088,0.007884929556053218
role,opponent,16,overlooks,0.008237433241366074,0.0006885636791015403,0.007548869562264533
role,opponent,17,claim,0.017127336742944428,0.009843426046094138,0.00728391069685029
role,opponent,18,remains,0.008036164154233659,0.0007898936207121237,0.007246270533521535
role,opponent,19,opponent argues,0.006963506816558208,0.0,0.006963506816558208
role,opponent,20,does,0.010405097955392012,0.0035794683548136495,0.006825629600578363
role,opponent,21,necessarily,0.008302767378260552,0.001607560742843279,0.006695206635417273
role,opponent,22,solely,0.009762136258103998,0.0031437594052106522,0.006618376852893345
role,opponent,23,parsimonious,0.006758090587055115,0.00014862846166570964,0.006609462125389405
role,opponent,24,attributing deliberate,0.006687819374731941,0.00014046070169761445,0.006547358673034327
role,opponent,25,reliable evidence,0.006716873779526305,0.0002813369294116846,0.006435536850114621
role,opponent,26,currently,0.006879319192354767,0.0004571991967850827,0.006422119995569684
role,opponent,27,sufficient evidence,0.008624040206785944,0.0026672864127243756,0.005956753794061569
role,opponent,28,unsubstantiated,0.006414039305103411,0.00046419338769497053,0.0059498459174084405
role,opponent,29,does necessarily,0.005982774516619278,9.364956050222158e-05,0.005889124956117057
role,opponent,30,deliberately,0.008845070410121668,0.0030068786776742415,0.005838191732447426
role,proponent,1,insistence,0.019640120204415468,0.000128982911776887,0.01951113729263858
role,proponent,2,scientific agent,0.015617142186657105,0.00041150557948389424,0.01520563660717321
role,proponent,3,agent,0.01552434530896295,0.001009080388243969,0.01451526492071898
role,proponent,4,isn,0.013459849439575487,0.0017822858970717,0.011677563542503787
role,proponent,5,consistent,0.013480744921851535,0.0038089204831535032,0.009671824438698032
role,proponent,6,ignores,0.012956474080508635,0.003478171238060963,0.009478302842447672
role,proponent,7,pattern,0.01666064796462785,0.007880507644541335,0.008780140320086515
role,proponent,8,conveniently,0.00762136267067761,0.0,0.00762136267067761
role,proponent,9,narrative,0.012939028734101233,0.005749093529354404,0.007189935204746829
role,proponent,10,creating,0.007636161972735604,0.0005235289737695233,0.007112632998966081
role,proponent,11,public,0.015280914345164768,0.008314223342673224,0.006966691002491544
role,proponent,12,coupled,0.0067856891700446,0.0,0.0067856891700446
role,proponent,13,consistently,0.008212735917226103,0.0016697201577559298,0.0065430157594701735
role,proponent,14,governments,0.007715965340640128,0.0012351111707301608,0.0064808541699099675
role,proponent,15,persistent,0.007291014790955324,0.0010633703267318377,0.006227644464223486
role,proponent,16,continued,0.006604376153740839,0.0004714538802372721,0.006132922273503567
role,proponent,17,evident,0.006058791674146177,0.00014872219703034484,0.0059100694771158325
role,proponent,18,agent insistence,0.005538199344163354,0.0,0.005538199344163354
role,proponent,19,power,0.00903971960535084,0.0035722725715252824,0.005467447033825558
role,proponent,20,genuine,0.007951960779650716,0.0025358516484415136,0.005416109131209203
role,proponent,21,conveniently ignores,0.005323117559379997,0.0,0.005323117559379997
role,proponent,22,history,0.007416318362339614,0.002165382913110203,0.005250935449229411
role,proponent,23,dismissal,0.0071472129604050385,0.002021839742071663,0.005125373218333376
role,proponent,24,aren,0.005642236077220646,0.0006004230491312507,0.005041813028089395
role,proponent,25,documented,0.00713880454137247,0.002152412521200149,0.004986392020172321
role,proponent,26,public health,0.01097790814085739,0.006058039061453235,0.004919869079404155
role,proponent,27,strongly,0.005059681228764363,0.0001965793431981096,0.004863101885566254
role,proponent,28,despite,0.006690907375171694,0.0019000025354046649,0.00479090483976703
role,proponent,29,scientific,0.014865599052134321,0.010137363026267256,0.004728236025867066
role,proponent,30,agent continued,0.004689423663077892,5.215224511510709e-05,0.004637271417962785
model_role,dolphin-yi-34b::moderator,1,sa,0.07849050946463969,0.02928897607337479,0.0492015333912649
model_role,dolphin-yi-34b::moderator,2,ca,0.08009122715938179,0.035719869061774615,0.04437135809760717
model_role,dolphin-yi-34b::moderator,3,questions,0.039988615144233144,0.006845214408114266,0.03314340073611888
model_role,dolphin-yi-34b::moderator,4,agents,0.04042246025264739,0.010785107758313064,0.029637352494334326
model_role,dolphin-yi-34b::moderator,5,specific,0.03831528429333426,0.009420400345829782,0.028894883947504474
model_role,dolphin-yi-34b::moderator,6,questions specific,0.028843807545948036,0.0003704375993947504,0.028473369946553286
model_role,dolphin-yi-34b::moderator,7,agents acknowledge,0.030269671729970443,0.00401813889237335,0.026251532837597093
model_role,dolphin-yi-34b::moderator,8,ca argues,0.02859084301339381,0.0038812558642898993,0.02470958714910391
model_role,dolphin-yi-34b::moderator,9,moves,0.029706231097546186,0.005240254274011627,0.02446597682353456
model_role,dolphin-yi-34b::moderator,10,detected,0.029433718777230188,0.005240254274011627,0.024193464503218562
model_role,dolphin-yi-34b::moderator,11,agreements,0.029484758808337355,0.00529290395243276,0.024191854855904596
model_role,dolphin-yi-34b::moderator,12,round,0.029453482051300484,0.005307018082983608,0.024146463968316878
model_role,dolphin-yi-34b::moderator,13,recap agreements,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,14,detected moves,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,15,moderator round,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,16,epistemic bridge,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,17,recap,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,18,bridge questions,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,19,disagreements,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,20,scores,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,21,civility,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,22,civility epistemic,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,23,round recap,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,24,moderator,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,25,scores civility,0.02933577957017682,0.005240254274011627,0.02409552529616519
model_role,dolphin-yi-34b::moderator,26,evidence,0.051623857849547095,0.027530582139779543,0.02409327570976755
model_role,dolphin-yi-34b::moderator,27,bridge,0.02933577957017682,0.00525771346900025,0.02407806610117657
model_role,dolphin-yi-34b::moderator,28,epistemic,0.029275194254264586,0.005364162986836006,0.02391103126742858
model_role,dolphin-yi-34b::moderator,29,agreements agents,0.028171793492438934,0.005262625929559107,0.022909167562879827
model_role,dolphin-yi-34b::moderator,30,argues,0.028707392797765605,0.0066698932658391915,0.022037499531926415
model_role,dolphin-yi-34b::opponent,1,supported,0.02261259242809127,0.0019099075948184289,0.020702684833272842
model_role,dolphin-yi-34b::opponent,2,opponent,0.021863064395449078,0.001458371546996363,0.020404692848452713
model_role,dolphin-yi-34b::opponent,3,reliable,0.021272102986244313,0.0010666492068926619,0.02020545377935165
model_role,dolphin-yi-34b::opponent,4,supported reliable,0.01558967182716629,0.00025805913426455514,0.015331612692901734
model_role,dolphin-yi-34b::opponent,5,does,0.018072471662049068,0.003500087992015181,0.014572383670033887
model_role,dolphin-yi-34b::opponent,6,necessarily,0.015984908624334944,0.0014986685650692504,0.014486240059265694
model_role,dolphin-yi-34b::opponent,7,opponent argues,0.014364838912001816,0.0,0.014364838912001816
model_role,dolphin-yi-34b::opponent,8,reliable evidence,0.012933897467031323,0.0004012272924093892,0.012532670174621934
model_role,dolphin-yi-34b::opponent,9,does necessarily,0.012341711502846357,7.449887272670971e-05,0.012267212630119647
model_role,dolphin-yi-34b::opponent,10,deliberately,0.013834002331764612,0.003240896421447338,0.010593105910317275
model_role,dolphin-yi-34b::opponent,11,motion,0.012090398545650015,0.0016512487002364206,0.010439149845413595
model_role,dolphin-yi-34b::opponent,12,imply,0.011140964419417145,0.0010502039544889599,0.010090760464928185
model_role,dolphin-yi-34b::opponent,13,necessarily imply,0.010295035706618008,0.0003393294690562605,0.009955706237561748
model_role,dolphin-yi-34b::opponent,14,opponent argument,0.00976408334417561,0.00031508976599834153,0.009448993578177267
model_role,dolphin-yi-34b::opponent,15,reliable inference,0.008553678443541107,0.000353665020084324,0.008200013423456783
model_role,dolphin-yi-34b::opponent,16,inference,0.008068138764152365,0.000991006228567604,0.007077132535584761
model_role,dolphin-yi-34b::opponent,17,crucial,0.009182313976931415,0.0022744904559046475,0.006907823521026767
model_role,dolphin-yi-34b::opponent,18,agriculture,0.007951456775641899,0.0010524405518047683,0.00689901622383713
model_role,dolphin-yi-34b::opponent,19,motion commercial,0.006850991717842977,0.0,0.006850991717842977
model_role,dolphin-yi-34b::opponent,20,designed,0.014001616894080771,0.0072630924545467514,0.0067385244395340195
model_role,dolphin-yi-34b::opponent,21,aim,0.007154779815741887,0.0004243270932718738,0.006730452722470013
model_role,dolphin-yi-34b::opponent,22,scientific evidence,0.007775593252184025,0.001174395521236703,0.006601197730947322
model_role,dolphin-yi-34b::opponent,23,agents secret,0.006679295148496134,0.00021425225209087016,0.006465042896405263
model_role,dolphin-yi-34b::opponent,24,moon,0.008855938898900502,0.002439714550422994,0.006416224348477507
model_role,dolphin-yi-34b::opponent,25,aircraft deliberately,0.006530564815036502,0.00042174167696978004,0.0061088231380667215
model_role,dolphin-yi-34b::opponent,26,deliberately release,0.006530564815036502,0.00042174167696978004,0.0061088231380667215
model_role,dolphin-yi-34b::opponent,27,decay,0.006282474525721925,0.00021596042567080163,0.006066514100051123
model_role,dolphin-yi-34b::opponent,28,tooth,0.006282474525721925,0.00021596042567080163,0.006066514100051123
model_role,dolphin-yi-34b::opponent,29,tooth decay,0.006282474525721925,0.00021596042567080163,0.006066514100051123
model_role,dolphin-yi-34b::opponent,30,anecdotal,0.008527918214151478,0.0025757958634664863,0.005952122350684992
model_role,dolphin-yi-34b::proponent,1,evident,0.011619737155300205,0.00032671994971056014,0.011293017205589645
model_role,dolphin-yi-34b::proponent,2,government,0.0233472218921714,0.012172339950221954,0.011174881941949447
model_role,dolphin-yi-34b::proponent,3,leading,0.008942981800721644,0.0009089633323230119,0.008034018468398633
model_role,dolphin-yi-34b::proponent,4,prioritize profit,0.009268579559105988,0.0014371388492453233,0.007831440709860665
model_role,dolphin-yi-34b::proponent,5,control,0.024572060492359042,0.01679637781856,0.007775682673799043
model_role,dolphin-yi-34b::proponent,6,history,0.010250866460534112,0.0027215416197816896,0.007529324840752422
model_role,dolphin-yi-34b::proponent,7,population,0.012322192868990016,0.004949747964591198,0.0073724449043988186
model_role,dolphin-yi-34b::proponent,8,state influence,0.0075294805083952285,0.00041895192316979173,0.007110528585225437
model_role,dolphin-yi-34b::proponent,9,media platforms,0.008764364861470877,0.0016752739858185903,0.007089090875652287
model_role,dolphin-yi-34b::proponent,10,companies prioritize,0.008057310595500449,0.0009813894647646005,0.007075921130735848
model_role,dolphin-yi-34b::proponent,11,control populations,0.007416228791518447,0.0004071281670673479,0.007009100624451099
model_role,dolphin-yi-34b::proponent,12,space,0.011941630939116947,0.005058407700209886,0.006883223238907062
model_role,dolphin-yi-34b::proponent,13,prioritize,0.010984816121710032,0.004136306326091291,0.006848509795618741
model_role,dolphin-yi-34b::proponent,14,evidenced,0.007074420916099174,0.00031238071267610445,0.006762040203423069
model_role,dolphin-yi-34b::proponent,15,interests,0.01283452209159139,0.00608426138343815,0.00675026070815324
model_role,dolphin-yi-34b::proponent,16,food,0.01076030698441186,0.004047900709061586,0.0067124062753502745
model_role,dolphin-yi-34b::proponent,17,currencies designed,0.0063290614682372515,3.9963688695818e-05,0.006289097779541434
model_role,dolphin-yi-34b::proponent,18,personal,0.007664201179388897,0.0013759987017002695,0.006288202477688627
model_role,dolphin-yi-34b::proponent,19,raises,0.00696630038920721,0.000752491642121979,0.006213808747085231
model_role,dolphin-yi-34b::proponent,20,powerful,0.008788368475779905,0.0025877043892315044,0.0062006640865484
model_role,dolphin-yi-34b::proponent,21,populations,0.006975490568163615,0.0008536080973048297,0.0061218824708587855
model_role,dolphin-yi-34b::proponent,22,worldwide,0.006583322804297994,0.0005138787817342374,0.006069444022563757
model_role,dolphin-yi-34b::proponent,23,platforms algorithms,0.0060480214838504005,0.0,0.0060480214838504005
model_role,dolphin-yi-34b::proponent,24,control population,0.006589640799045094,0.0006092679956127064,0.005980372803432388
model_role,dolphin-yi-34b::proponent,25,bank digital,0.007472017571422458,0.0015180598953164531,0.005953957676106005
model_role,dolphin-yi-34b::proponent,26,welfare,0.006787498082947639,0.0008731379639724546,0.005914360118975184
model_role,dolphin-yi-34b::proponent,27,governments,0.008367311383746672,0.002459566289239843,0.005907745094506829
model_role,dolphin-yi-34b::proponent,28,corporations,0.008756669368706307,0.002889297412711255,0.005867371955995052
model_role,dolphin-yi-34b::proponent,29,profit patient,0.0064335970255433965,0.0005747596400710504,0.005858837385472346
model_role,dolphin-yi-34b::proponent,30,profit,0.014797786660193867,0.008954878181040437,0.0058429084791534296
model_role,gemma3:27b::moderator,1,ca,0.1807005140772128,0.016203427459990528,0.16449708661722226
model_role,gemma3:27b::moderator,2,sa,0.1447866267721565,0.016544083269534902,0.1282425435026216
model_role,gemma3:27b::moderator,3,agents,0.050976664707906155,0.00888218522083061,0.042094479487075544
model_role,gemma3:27b::moderator,4,evidence,0.06533965870969913,0.024974258708939035,0.040365400000760096
model_role,gemma3:27b::moderator,5,proof,0.04357254041142641,0.005530109472390608,0.038042430939035796
model_role,gemma3:27b::moderator,6,agree,0.03728188746266906,0.001257694902333414,0.03602419256033565
model_role,gemma3:27b::moderator,7,questions ca,0.031719749412753614,0.0005336271447693656,0.03118612226798425
model_role,gemma3:27b::moderator,8,burden,0.03252300229216873,0.0032867631666616635,0.029236239125507067
model_role,gemma3:27b::moderator,9,shift,0.031058133846456122,0.0022669645598251426,0.02879116928663098
model_role,gemma3:27b::moderator,10,acknowledge,0.034475082330299486,0.005858898296445211,0.028616184033854276
model_role,gemma3:27b::moderator,11,burden proof,0.03160124608383688,0.0029963719919830164,0.028604874091853864
model_role,gemma3:27b::moderator,12,emphasizes,0.029152704013513886,0.0015386941777514019,0.027614009835762485
model_role,gemma3:27b::moderator,13,proof shift,0.029028042590709412,0.0018557009786736426,0.02717234161203577
model_role,gemma3:27b::moderator,14,focuses,0.0281335743354872,0.0010249196808765633,0.027108654654610636
model_role,gemma3:27b::moderator,15,frames,0.024816714442594878,0.00010703148765924965,0.024709682954935627
model_role,gemma3:27b::moderator,16,appeal,0.028348106703272036,0.003956266664450185,0.02439184003882185
model_role,gemma3:27b::moderator,17,shift ca,0.02490146854105385,0.0008336774682579273,0.024067791072795924
model_role,gemma3:27b::moderator,18,ca focuses,0.022999645462745036,7.648415026419893e-05,0.022923161312480837
model_role,gemma3:27b::moderator,19,questions,0.031543143363886604,0.008696598461685957,0.022846544902200647
model_role,gemma3:27b::moderator,20,disagreements ca,0.027090353911045913,0.005310457070329288,0.021779896840716625
model_role,gemma3:27b::moderator,21,agents agree,0.02265587693771698,0.0012685930872901017,0.021387283850426878
model_role,gemma3:27b::moderator,22,agreements agents,0.026622695878946116,0.005699495793267992,0.020923200085678124
model_role,gemma3:27b::moderator,23,argues,0.027724077357417876,0.0069905304016990195,0.020733546955718857
model_role,gemma3:27b::moderator,24,bridge,0.02659784460788362,0.005934984306105139,0.020662860301778482
model_role,gemma3:27b::moderator,25,specific,0.03152034352930363,0.010922844680653734,0.020597498848649892
model_role,gemma3:27b::moderator,26,civility,0.026509521621470588,0.005934984306105139,0.02057453731536545
model_role,gemma3:27b::moderator,27,scores,0.026509521621470588,0.005934984306105139,0.02057453731536545
model_role,gemma3:27b::moderator,28,scores civility,0.026509521621470588,0.005934984306105139,0.02057453731536545
model_role,gemma3:27b::moderator,29,epistemic bridge,0.026509521621470588,0.005934984306105139,0.02057453731536545
model_role,gemma3:27b::moderator,30,recap,0.026509521621470588,0.005934984306105139,0.02057453731536545
model_role,gemma3:27b::opponent,1,attributing,0.04712527596004347,0.001118664164626197,0.04600661179541727
model_role,gemma3:27b::opponent,2,acknowledging,0.04344700875576073,0.0015835974880351001,0.04186341126772563
model_role,gemma3:27b::opponent,3,requires,0.042690791059294256,0.0019377092325900695,0.04075308182670419
model_role,gemma3:27b::opponent,4,requires demonstrating,0.03085004796778313,0.0005446681739392728,0.030305379793843856
model_role,gemma3:27b::opponent,5,demonstrating,0.03076339514956767,0.00228252868895452,0.02848086646061315
model_role,gemma3:27b::opponent,6,lacks,0.027061712785317753,0.0027269612396499713,0.024334751545667783
model_role,gemma3:27b::opponent,7,evidence relies,0.0221091704320707,0.0010826779305314854,0.021026492501539214
model_role,gemma3:27b::opponent,8,acknowledging potential,0.020201906011884922,0.0004912896551859743,0.01971061635669895
model_role,gemma3:27b::opponent,9,relies,0.022993345933447935,0.004512425992393149,0.018480919941054788
model_role,gemma3:27b::opponent,10,lacks sufficient,0.019001114961215985,0.0006096155767427975,0.018391499384473188
model_role,gemma3:27b::opponent,11,mechanism,0.016923629633814212,0.0023943004649598287,0.014529329168854382
model_role,gemma3:27b::opponent,12,solely,0.01731768757980945,0.0028687256732345253,0.014448961906574923
model_role,gemma3:27b::opponent,13,sufficient evidence,0.016403325946444364,0.0022170877711137796,0.014186238175330584
model_role,gemma3:27b::opponent,14,overlooks,0.014139900770665981,0.000936928962422174,0.013202971808243808
model_role,gemma3:27b::opponent,15,parsimonious,0.013116406801354862,0.00011968274376696503,0.012996724057587896
model_role,gemma3:27b::opponent,16,currently,0.013351692742344889,0.0003681586535044894,0.0129835340888404
model_role,gemma3:27b::opponent,17,attributing deliberate,0.012980021265324809,0.00011310567291218982,0.012866915592412619
model_role,gemma3:27b::opponent,18,sufficient,0.016128253503159797,0.0037618267351007336,0.012366426768059064
model_role,gemma3:27b::opponent,19,claim,0.022416250578790063,0.010167193836777994,0.01224905674201207
model_role,gemma3:27b::opponent,20,unsubstantiated,0.012448656566806337,0.00037379071044125626,0.01207486585636508
model_role,gemma3:27b::opponent,21,plausible,0.013402185795445748,0.0025904519116925983,0.01081173388375315
model_role,gemma3:27b::opponent,22,explanations,0.016728821541835765,0.005918151784190207,0.01081066975764556
model_role,gemma3:27b::opponent,23,link,0.013592616354338593,0.002968971823593402,0.01062364453074519
model_role,gemma3:27b::opponent,24,established,0.013559934889150622,0.003431463798337237,0.010128471090813385
model_role,gemma3:27b::opponent,25,remains,0.011581582218440098,0.0014672294489353939,0.010114352769504703
model_role,gemma3:27b::opponent,26,undoubtedly,0.01004989678423596,0.0,0.01004989678423596
model_role,gemma3:27b::opponent,27,deliberate,0.018639833384834516,0.00899027570906986,0.009649557675764656
model_role,gemma3:27b::opponent,28,alternative explanations,0.013487331763057143,0.003922572052719005,0.009564759710338138
model_role,gemma3:27b::opponent,29,framing,0.013279905923155063,0.003759681750725013,0.00952022417243005
