group_name,rank,term,target_tfidf_mean,other_tfidf_mean,tfidf_gap
dolphin-yi-34b::proponent,21,rapid,0.11307581152328058,0.061319237605941074,0.05175657391733951
dolphin-yi-34b::proponent,22,rollout,0.13109673819124776,0.0827058688924951,0.048390869298752665
dolphin-yi-34b::proponent,23,covid,0.14426187943062685,0.10581302959583895,0.0384488498347879
dolphin-yi-34b::proponent,24,covid 19,0.14426187943062685,0.10581302959583895,0.0384488498347879
dolphin-yi-34b::proponent,25,19,0.14426187943062685,0.10581302959583895,0.0384488498347879
dolphin-yi-34b::proponent,26,public health,0.07902556847711525,0.04628039314955036,0.03274517532756489
dolphin-yi-34b::proponent,27,19 vaccines,0.12585846887980426,0.0986655845086458,0.02719288437115845
dolphin-yi-34b::proponent,28,19 vaccine,0.05422803017761734,0.028275951217445104,0.025952078960172237
dolphin-yi-34b::proponent,29,public,0.07165764193906692,0.0496445590057927,0.022013082933274218
dolphin-yi-34b::proponent,30,technologies,0.13109673819124776,0.11020282811010855,0.020893910081139208
